Tempo, Tensão LDR 1, Tensão LDR 2
59065,1009,1011
59115,1009,1011
59166,1009,1011
59216,1009,1011
59268,1009,1011
59318,1009,1011
59369,1009,1011
59419,1009,1010
59469,1009,1011
59521,1009,1011
59571,1010,1011
59622,1009,1011
59672,1009,1011
59723,1010,1011
59773,1009,1011
59825,1009,1010
59875,1009,1011
59926,1009,1011
59976,1009,1011
60027,1009,1011
60027,Acabou,Acabou
